transformer;model;train_samples;val_samples;test_samples;seed;test_acc;test_prec;test_recall;test_f1;best_params
dino_vitb8;LogisticRegression;176;43;54;3;0.9629629629629629;[1.     0.875  0.9375 1.    ];[1.     0.875  0.9375 1.    ];[1.     0.875  0.9375 1.    ];{'C': 1}
dino_vitb8;KNeighborsClassifier;176;43;54;3;0.9259259259259259;[0.96153846 0.75       0.93333333 1.        ];[1.    0.75  0.875 1.   ];[0.98039216 0.75       0.90322581 1.        ];{'n_neighbors': 10, 'weights': 'uniform'}
dino_vitb8;SVC;176;43;54;3;0.9259259259259259;[0.96153846 1.         0.84210526 1.        ];[1.  0.5 1.  1. ];[0.98039216 0.66666667 0.91428571 1.        ];{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
dino_vitb8;RandomForestClassifier;176;43;54;3;0.9074074074074074;[0.92592593 0.8        0.88235294 1.        ];[1.     0.5    0.9375 1.    ];[0.96153846 0.61538462 0.90909091 1.        ];{'n_estimators': 100}
dino_vitb8;MLPClassifier;176;43;54;3;0.9444444444444444;[0.96153846 0.85714286 0.9375     1.        ];[1.     0.75   0.9375 1.    ];[0.98039216 0.8        0.9375     1.        ];{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (10, 30, 10), 'learning_rate': 'constant', 'solver': 'adam'}
dino_vitb8;XGBClassifier;176;43;54;3;0.9259259259259259;[0.92592593 0.83333333 0.9375     1.        ];[1.     0.625  0.9375 1.    ];[0.96153846 0.71428571 0.9375     1.        ];{'n_estimators': 100}
dino_vitb8;LogisticRegression;176;43;54;4;0.9629629629629629;[1.     0.875  0.9375 1.    ];[1.     0.875  0.9375 1.    ];[1.     0.875  0.9375 1.    ];{'C': 1}
dino_vitb8;KNeighborsClassifier;176;43;54;4;0.9444444444444444;[1.         0.77777778 0.93333333 1.        ];[1.    0.875 0.875 1.   ];[1.         0.82352941 0.90322581 1.        ];{'n_neighbors': 10, 'weights': 'uniform'}
dino_vitb8;SVC;176;43;54;4;0.9259259259259259;[0.96153846 1.         0.84210526 1.        ];[1.  0.5 1.  1. ];[0.98039216 0.66666667 0.91428571 1.        ];{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
dino_vitb8;RandomForestClassifier;176;43;54;4;0.8888888888888888;[0.92307692 0.66666667 0.88235294 1.        ];[0.96   0.5    0.9375 1.    ];[0.94117647 0.57142857 0.90909091 1.        ];{'n_estimators': 10}
dino_vitb8;MLPClassifier;176;43;54;4;0.9444444444444444;[0.96153846 0.85714286 0.9375     1.        ];[1.     0.75   0.9375 1.    ];[0.98039216 0.8        0.9375     1.        ];{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (10, 30, 10), 'learning_rate': 'constant', 'solver': 'sgd'}
dino_vitb8;XGBClassifier;176;43;54;4;0.9629629629629629;[1.         1.         0.88888889 1.        ];[1.   0.75 1.   1.  ];[1.         0.85714286 0.94117647 1.        ];{'n_estimators': 100}
